"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Thalassaemia, unspecified"	"D56.9"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Sickle-cell anaemia with crisis"	"D57.0"	51	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Sickle-cell anaemia without crisis"	"D57.1"	157	83256835	0.2
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Double heterozygous sickling disorders"	"D57.2"	7	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Sickle-cell trait"	"D57.3"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Hereditary haemolytic anaemia, unspecified"	"D58.9"	10	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Other autoimmune haemolytic anaemias"	"D59.1"	5	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Haemolytic-uraemic syndrome"	"D59.3"	8	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Other nonautoimmune haemolytic anaemias"	"D59.4"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]"	"D59.5"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Acquired haemolytic anaemia, unspecified"	"D59.9"	2	83256835	Unreliable
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"			250	83256835	0.3
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Aplastic anaemia due to other external agents"	"D61.2"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Aplastic anaemia, unspecified"	"D61.9"	62	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Acute posthaemorrhagic anaemia"	"D62"	28	83256835	0.0
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Other sideroblastic anaemias"	"D64.3"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Other specified anaemias"	"D64.8"	5	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	"Anaemia, unspecified"	"D64.9"	84	83256835	0.1
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"			181	83256835	0.2
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	99	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Hereditary factor VIII deficiency"	"D66"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Hereditary factor IX deficiency"	"D67"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Von Willebrand disease"	"D68.0"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Hereditary deficiency of other clotting factors"	"D68.2"	6	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Acquired coagulation factor deficiency"	"D68.4"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Primary thrombophilia"	"D68.5"	14	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Other thrombophilia"	"D68.6"	46	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Other specified coagulation defects"	"D68.8"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Coagulation defect, unspecified"	"D68.9"	136	83256835	0.2
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Allergic purpura"	"D69.0"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Idiopathic thrombocytopenic purpura"	"D69.3"	25	83256835	0.0
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Other primary thrombocytopenia"	"D69.4"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Secondary thrombocytopenia"	"D69.5"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Thrombocytopenia, unspecified"	"D69.6"	56	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	"Haemorrhagic condition, unspecified"	"D69.9"	2	83256835	Unreliable
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"			407	83256835	0.5
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Agranulocytosis"	"D70"	35	83256835	0.0
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Functional disorders of polymorphonuclear neutrophils"	"D71"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Eosinophilia"	"D72.1"	5	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Other specified disorders of white blood cells"	"D72.8"	6	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Hypersplenism"	"D73.1"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Abscess of spleen"	"D73.3"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Infarction of spleen"	"D73.5"	9	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Other diseases of spleen"	"D73.8"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Disease of spleen, unspecified"	"D73.9"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Other specified diseases of blood and blood-forming organs"	"D75.8"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Disease of blood and blood-forming organs, unspecified"	"D75.9"	9	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Langerhans cell histiocytosis, not elsewhere classified"	"D76.0"	12	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Haemophagocytic lymphohistiocytosis"	"D76.1"	41	83256835	0.0
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Haemophagocytic syndrome, infection-associated"	"D76.2"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	"Other histiocytosis syndromes"	"D76.3"	3	83256835	Unreliable
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"			136	83256835	0.2
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Hereditary hypogammaglobulinaemia"	"D80.0"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Nonfamilial hypogammaglobulinaemia"	"D80.1"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Selective deficiency of immunoglobulin A [IgA]"	"D80.2"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Selective deficiency of immunoglobulin G [IgG] subclasses"	"D80.3"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Selective deficiency of immunoglobulin M [IgM]"	"D80.4"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Hyperimmunoglobulin E [IgE] syndrome"	"D82.4"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Common variable immunodeficiency, unspecified"	"D83.9"	8	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Defects in the complement system"	"D84.1"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Other specified immunodeficiencies"	"D84.8"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Immunodeficiency, unspecified"	"D84.9"	37	83256835	0.0
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Sarcoidosis of lung"	"D86.0"	43	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Sarcoidosis of other and combined sites"	"D86.8"	54	83256835	0.1
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Sarcoidosis, unspecified"	"D86.9"	160	83256835	0.2
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Cryoglobulinaemia"	"D89.1"	1	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	"Disorder involving the immune mechanism, unspecified"	"D89.9"	28	83256835	0.0
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"			344	83256835	0.4
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"					1333	83256835	1.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Myxoedema coma"	"E03.5"	5	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Hypothyroidism, unspecified"	"E03.9"	45	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Nontoxic single thyroid nodule"	"E04.1"	1	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Nontoxic multinodular goitre"	"E04.2"	2	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Thyrotoxicosis with diffuse goitre"	"E05.0"	8	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Thyroid crisis or storm"	"E05.5"	21	83256835	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Thyrotoxicosis, unspecified"	"E05.9"	30	83256835	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Autoimmune thyroiditis"	"E06.3"	3	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	"Disorder of thyroid, unspecified"	"E07.9"	2	83256835	Unreliable
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"			117	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with coma"	"E10.0"	5	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with ketoacidosis"	"E10.1"	88	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	287	83256835	0.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with neurological complications"	"E10.4"	14	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	18	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with other specified complications"	"E10.6"	1	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, with multiple complications"	"E10.7"	83	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	404	83256835	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with coma"	"E11.0"	12	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with ketoacidosis"	"E11.1"	47	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	575	83256835	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with neurological complications"	"E11.4"	15	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	59	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with other specified complications"	"E11.6"	3	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	115	83256835	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	965	83256835	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with renal complications"	"E12.2"	1	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, without complications"	"E12.9"	2	83256835	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with coma"	"E14.0"	41	83256835	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	874	83256835	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	1281	83256835	1.5
